Sites,Long,Lat,Code,Bioregion
Burderkin river rivermouth,147.58990,-19.59606,N/A,NA3 High Nutrients Coastal Strip
Burderkin river offshore,147.73959,-19.47181,N/A,NB5 Inner Mid Shelf Lagoon
Tink shoal,147.85769,-19.36172,19-021,RF2 Central Open Lagoon Reefs
Stanley Reef,148.03416,-19.27554,19-045,RG2 Exposed Mid Shelf Reefs
Darley Reef,148.12995,-19.18299,19-043,RG2 Exposed Mid Shelf Reefs
Shell Reef,148.17574,-19.06654,19-028,RG2 Exposed Mid Shelf Reefs
Shrimp Reef,148.08742,-18.94359,18-118,RG2 Exposed Mid Shelf Reefs
Viper Reef,148.15314,-18.87214,18-112,RA3 Outer Shelf Reefs
U/N Reef (18-132),148.17445,-18.81670,18-132,RA3 Outer Shelf Reefs
(Big) Broadhurst Reef (No 1),147.78684,-18.94542,18-108,RG2 Exposed Mid Shelf Reefs
Morinda Shoal,147.63299,-19.14586,19-020,RF2 Central Open Lagoon Reefs
Old Reef,148.11089,-19.40350,19-048,RG2 Exposed Mid Shelf Reefs
Faith Reef,148.34538,-19.27587,19-044,RG2 Exposed Mid Shelf Reefs
Charity reef,148.33749,-19.36723,19-047,RG2 Exposed Mid Shelf Reefs
Hope Reef,148.43362,-19.32382,19-046,RG2 Exposed Mid Shelf Reefs
Tiger Reef,148.54760,-19.19677,19-054,RHW Strong Tidal Mid Shelf Reefs (West)
Leopard reef,148.69145,-19.09120,19-050,RA3 Outer Shelf Reefs
Cup Reef (North),147.62215,-18.61331,18-084a,RG2 Exposed Mid Shelf Reefs
Bowden Reef,147.92540,-19.03782,19-019,RG2 Exposed Mid Shelf Reefs
U/N Reef (19-280),148.51523,-19.37824,19-280,RHW Strong Tidal Mid Shelf Reefs (West)
Jacqueline Reef,148.90336,-19.21558,19-061,RHW Strong Tidal Mid Shelf Reefs (West)
Wilson Shoal,147.94360,-19.36091,19-022,RF2 Central Open Lagoon Reefs
