Point,Discharge,distance,Lat,Long
1,a,0,-19.6054,147.5731
2,b,0,-19.6292,147.5789
3,c,0,-19.6436,147.5975
4,d,0,-19.6911,147.605
5,e,0,-19.7144,147.5926
6,f,0,-19.7259,147.5921
7,a,2,-19.6054,147.5931
8,a,2,-19.5954,147.5831
9,a,2,-19.6154,147.5831
10,b,2,-19.6292,147.5989
11,b,2,-19.6192,147.5889
12,b,2,-19.6392,147.5889
13,c,2,-19.6436,147.6175
14,c,2,-19.6336,147.6075
15,c,2,-19.6536,147.6075
16,d,2,-19.6911,147.625
17,d,2,-19.6811,147.615
18,d,2,-19.7011,147.615
19,e,2,-19.7144,147.6126
20,e,2,-19.7044,147.6026
21,e,2,-19.7244,147.6026
22,f,2,-19.7259,147.6121
23,f,2,-19.7159,147.6021
24,f,2,-19.7359,147.6021
25,a,4,-19.6054,147.6131
26,a,4,-19.5954,147.6081
27,a,4,-19.6154,147.6081
28,a,4,-19.5854,147.6031
29,a,4,-19.6254,147.6031
30,b,4,-19.6292,147.6189
31,b,4,-19.6192,147.6139
32,b,4,-19.6392,147.6139
33,b,4,-19.6092,147.6089
34,b,4,-19.6492,147.6089
35,c,4,-19.6436,147.6375
36,c,4,-19.6336,147.6325
37,c,4,-19.6536,147.6325
38,c,4,-19.6236,147.6275
39,c,4,-19.6636,147.6275
40,d,4,-19.6911,147.645
41,d,4,-19.6811,147.64
42,d,4,-19.7011,147.64
43,d,4,-19.6711,147.635
44,d,4,-19.7111,147.635
45,e,4,-19.7144,147.6326
46,e,4,-19.7044,147.6276
47,e,4,-19.7244,147.6276
48,e,4,-19.6944,147.6226
49,e,4,-19.7344,147.6226
50,f,4,-19.7259,147.6321
51,f,4,-19.7159,147.6271
52,f,4,-19.7359,147.6271
53,f,4,-19.7059,147.6221
54,f,4,-19.7459,147.6221
